Event,CD45,CD45RA,CD19,CD11b,CD4,CD8,CD34,CD20,CD33,CD123,CD38,CD90,CD3,label,mean,median,clustered_label,x_y_label,clusterL1,clusterL2,point_x,point_y
23,4.32312,0.07689631,-0.11690423,0.07407072,2.498309,1.2445536,0.06807506,0.11066548,4.818894,2.9756076,2.9945097,0.32642227,0.6744642,CD11b-_Monocyte_cells,1.543744900769231,0.6744642,3;2;0;1;,-0x1,0x1,,1/6,3/4
24,3.2227762,-0.1676036,0.14372097,-0.71918344,-0.003426563,1.2753383,0.9328536,-0.07238209,4.207496,0.8102707,4.4271975,1.2031788,1.9620093,CD11b-_Monocyte_cells,1.324788129,0.9328536,3;2;0;1;,-0x1,0x1,,1/6,3/4
25,3.058368,-0.073840424,-0.28965476,0.7571408,0.84761864,-0.26772165,0.1438504,-0.2993342,4.352588,0.06498661,3.90424,0.85899115,1.3404918,CD11b-_Monocyte_cells,1.1075172589230768,0.7571408,3;2;0;1;,-0x1,0x1,,1/6,3/4
26,3.0611796,0.31468278,-0.052122883,-0.11953746,1.8011587,-0.28179225,-0.08441986,-0.0731564,4.3033814,0.6035154,4.9437585,-0.08199793,1.8237951,CD11b-_Monocyte_cells,1.2429572843846155,0.31468278,3;2;0;1;,-0x1,0x1,,1/6,3/4
27,3.2374523,0.7661798,-0.023338152,-0.0074407426,1.93278,1.2750156,0.35852274,-0.020142762,4.336365,2.4349325,5.260688,0.09842871,1.0169872,CD11b-_Monocyte_cells,1.5897253994923077,1.0169872,3;2;0;1;,-0x1,0x1,,1/6,3/4
28,2.3251553,0.60867774,-0.1467988,0.36984324,1.6527874,-0.28673017,1.5076914,0.04591813,4.543799,0.5315179,5.2891297,0.61456245,2.0628173,CD11b-_Monocyte_cells,1.4706438915384616,0.61456245,3;2;0;1;,-0x1,0x1,,1/6,3/4
29,2.9744332,0.2723607,-0.08667868,0.26400432,1.102203,-0.054752264,-0.022639394,0.20384446,4.6789756,2.3375068,4.80468,1.2598623,0.46854907,CD11b-_Monocyte_cells,1.400180700923077,0.46854907,3;2;0;1;,-0x1,0x1,,1/6,3/4
30,2.8206484,0.89165735,0.7076707,-0.17371237,2.4523354,-0.01082251,0.2226589,1.8058361,4.3439355,0.96078926,4.7282133,0.84441626,1.6592406,CD11b-_Monocyte_cells,1.6348359146153846,0.96078926,3;2;0;1;,-0x1,0x1,,1/6,3/4
31,3.0109656,1.1588023,-0.11170002,-0.61570525,2.417987,0.38481495,1.4738199,0.035246454,3.982181,0.75378263,5.509662,1.9397126,1.7976732,CD11b-_Monocyte_cells,1.6720955664615382,1.4738199,3;2;0;1;,-0x1,0x1,,1/6,3/4
32,3.3449547,-0.50671345,-0.089611076,-0.06023829,2.4866283,-0.0074438555,0.39964288,-0.02917583,4.0402827,2.1782708,5.066951,0.23091675,0.8949133,CD11b-_Monocyte_cells,1.3807213791153845,0.39964288,3;2;0;1;,-0x1,0x1,,1/6,3/4
33,4.2100005,2.847375,-0.037941903,0.13824908,2.0903745,2.2237813,-0.06626944,-0.0049927826,4.956522,1.9228182,5.0997725,0.4724157,0.7407207,CD11b-_Monocyte_cells,1.891755796492308,1.9228182,3;2;0;1;,-0x1,0x1,,1/6,3/4
34,2.9182694,0.64146906,-0.18305492,0.2871676,0.3653445,-0.12161812,1.1466354,1.1180356,4.343132,1.6006643,5.1170516,0.6832675,1.9347132,CD11b-_Monocyte_cells,1.5270059323076925,1.1180356,3;2;0;1;,-0x1,0x1,,1/6,3/4
35,3.365533,2.446202,-0.07526461,-0.07127682,0.45521158,0.6487943,0.14993365,-0.11163949,4.2845855,1.4512095,4.7014694,0.069693595,1.4921795,CD11b-_Monocyte_cells,1.4466639311538465,0.6487943,3;2;0;1;,-0x1,0x1,,1/6,3/4
36,3.373316,0.534694,0.12526838,0.1194853,1.3359108,0.12177304,0.7751893,1.4798052,4.8259497,0.36011055,5.374344,-0.051302474,0.9344811,CD11b-_Monocyte_cells,1.485309607384615,0.7751893,3;2;0;1;,-0x1,0x1,,1/6,3/4
37,3.0558357,0.38246027,-0.054031596,0.47060755,0.53983074,-0.44905037,-0.047915693,-0.11510903,4.7053537,1.4865085,4.470805,1.233304,1.9067397,CD11b-_Monocyte_cells,1.352718343923077,0.53983074,3;2;0;1;,-0x1,0x1,,1/6,3/4
38,4.5478315,-0.07115477,-0.003850841,0.029727966,3.4596288,-0.048845313,1.3090218,-0.14717565,4.844977,2.920324,3.9431963,0.425267,1.0729624,CD11b-_Monocyte_cells,1.713993091692308,1.0729624,3;2;0;1;,-0x1,0x1,,1/6,3/4
39,2.79386,-0.2573919,-0.038401727,-0.099658005,2.5241725,-0.16784824,-0.019418951,0.605167,4.755046,1.5062852,3.939449,0.69564146,1.7822542,CD11b-_Monocyte_cells,1.3860889643846157,0.69564146,3;2;0;1;,-0x1,0x1,,1/6,3/4
40,3.5144494,0.8076425,-0.14265752,0.6187825,0.37235862,0.49281037,-0.042245533,-0.04118918,4.1413817,0.83540034,4.581939,-0.24192864,0.9651366,CD11b-_Monocyte_cells,1.2201446274615384,0.6187825,3;2;0;1;,-0x1,0x1,,1/6,3/4
41,2.9585617,1.3093228,-0.22646233,-0.27140003,-0.18380195,-0.29249087,-0.14107144,-0.14206615,4.4217806,2.0066936,5.448752,0.32086346,1.6765369,CD11b-_Monocyte_cells,1.2988629453846154,0.32086346,3;2;0;1;,-0x1,0x1,,1/6,3/4
42,2.4214299,-0.25734967,0.40717632,0.56887084,0.20473096,-0.15793163,1.2805749,0.2742963,4.7633786,2.198025,5.242578,0.10222408,0.59444857,CD11b-_Monocyte_cells,1.3571117053846153,0.56887084,3;2;0;1;,-0x1,0x1,,1/6,3/4
43,4.1890984,-0.20158705,-0.08870976,0.6360061,1.4882289,-0.37086746,-0.02949179,-0.0144866835,4.7391458,2.1709673,4.759063,0.45274293,1.2582963,CD11b-_Monocyte_cells,1.460646614346154,0.6360061,3;2;0;1;,-0x1,0x1,,1/6,3/4
44,3.7451568,0.7953161,-0.20623018,0.51707846,2.5558574,-0.0037689046,-0.05919052,0.21908046,4.6831064,1.5309476,4.2071424,-0.05242065,1.4971284,CD11b-_Monocyte_cells,1.4945541358,0.7953161,3;2;0;1;,-0x1,0x1,,1/6,3/4
45,3.443908,-0.566111,-0.15934435,0.07483118,0.5438821,-0.2398952,-0.089417,-0.00096118666,4.527787,0.38643983,4.715375,0.7791013,-0.38188338,CD11b-_Monocyte_cells,1.0025932533338462,0.07483118,3;2;0;1;,-0x1,0x1,,1/6,3/4
46,2.5800369,0.29630008,-0.117116,-0.13041025,2.3053474,-0.07341381,0.72858363,0.9967294,4.291923,0.9032094,3.8313198,-0.13772531,0.76857954,CD11b-_Monocyte_cells,1.2494895215384618,0.76857954,3;2;0;1;,-0x1,0x1,,1/6,3/4
47,2.726646,0.41265246,-0.052460816,-0.06560759,1.6389179,0.8492172,-0.09129656,0.39407074,4.2517495,0.6445694,4.2660522,-0.08402422,1.8018981,CD11b-_Monocyte_cells,1.2840295626153844,0.6445694,3;2;0;1;,-0x1,0x1,,1/6,3/4
48,3.4941728,1.3992805,1.2149925,0.73080075,1.0557333,-0.15308583,0.7081806,1.0309433,3.6590183,0.7583723,3.8739853,1.4510094,1.0513922,CD11b-_Monocyte_cells,1.5595996476923077,1.0557333,3;2;0;1;,-0x1,0x1,,1/6,3/4
49,3.9775841,-0.24520664,1.0721608,0.58666474,2.4572232,0.032413647,0.788263,-0.052769765,4.576563,1.8019526,4.1103716,0.70709765,0.5719093,CD11b-_Monocyte_cells,1.5680174793846158,0.788263,3;2;0;1;,-0x1,0x1,,1/6,3/4
50,3.1027956,-0.18575165,-0.08974926,-0.09566123,1.0596238,-0.15165098,0.3982684,-0.047344107,4.052942,0.38291627,4.3802934,0.34874916,-0.60837054,CD11b-_Monocyte_cells,0.9651585279230771,0.34874916,3;2;0;1;,-0x1,0x1,,1/6,3/4
51,3.3386893,1.9864212,-0.09809154,-0.05924053,1.536847,-0.051908668,-0.07096978,-0.032183845,4.4562707,0.8469769,5.195736,0.5676224,1.2576965,CD11b-_Monocyte_cells,1.4518358182307693,0.8469769,3;2;0;1;,-0x1,0x1,,1/6,3/4
52,3.1997437,0.029653098,-0.031845108,-0.124198966,1.7898114,1.3611885,0.38820457,-0.033582047,4.9839935,1.0521827,5.2686706,0.8557447,-1.5288849,CD11b-_Monocyte_cells,1.323898595923077,0.8557447,3;2;0;1;,-0x1,0x1,,1/6,3/4
53,2.7220674,1.8072243,-0.06665036,-0.1758537,0.83756196,-0.08166548,0.19546013,-0.090250544,4.402232,2.0898232,4.556726,0.91976625,-1.548073,CD11b-_Monocyte_cells,1.1975667812307689,0.83756196,3;2;0;1;,-0x1,0x1,,1/6,3/4
54,3.6342742,0.89604354,-0.120860435,0.39139318,1.8399019,-0.02566531,0.53151923,-0.0787695,4.1808386,2.6875317,4.544307,1.0110928,0.04832922,CD11b-_Monocyte_cells,1.5030720096153847,0.89604354,3;2;0;1;,-0x1,0x1,,1/6,3/4
55,3.0931141,1.7016098,0.5891431,-0.113613054,-0.35779294,-0.05053797,1.886497,-0.07165291,4.256286,1.7399343,4.678732,1.2348751,1.9172137,CD11b-_Monocyte_cells,1.5772160173846157,1.7016098,3;2;0;1;,-0x1,0x1,,1/6,3/4
56,3.069277,1.7737453,-0.18718627,0.36198446,0.015288012,-0.3761169,-0.018495018,0.13899568,3.896397,1.3820355,4.2427406,0.6545071,0.6219084,CD11b-_Monocyte_cells,1.1980831433846155,0.6219084,3;2;0;1;,-0x1,0x1,,1/6,3/4
57,3.730203,0.5825774,-0.022512937,0.40450114,1.1569178,1.6557014,1.3482696,-0.02431573,5.080693,1.833271,4.7368417,1.1144881,0.5245245,CD11b-_Monocyte_cells,1.701627690230769,1.1569178,3;2;0;1;,-0x1,0x1,,1/6,3/4
58,3.679469,1.4086708,-0.3342339,-0.21363087,1.8563498,-0.26793483,-0.077758424,0.46703038,5.086814,1.2379204,4.5816975,-0.0040480136,0.4201228,CD11b-_Monocyte_cells,1.3723437417230773,0.46703038,3;2;0;1;,-0x1,0x1,,1/6,3/4
59,3.7012236,0.14813879,-0.14684282,-0.11827286,-0.01923137,0.33876362,-0.035481185,-0.051680516,4.414832,0.9023997,5.055989,1.335752,1.0813721,CD11b-_Monocyte_cells,1.277458619923077,0.33876362,3;2;0;1;,-0x1,0x1,,1/6,3/4
60,3.451313,2.0706127,-0.07059079,-0.1261395,0.8585768,1.3997234,0.8206333,-0.08002982,4.4130154,2.5840154,5.4223003,2.304521,0.11481906,CD11b-_Monocyte_cells,1.7817515576923075,1.3997234,3;2;0;1;,-0x1,0x1,,1/6,3/4
61,3.610319,-0.06747156,0.25409555,0.05453586,2.0287116,-0.10825725,0.52666104,-0.086679354,3.9991658,0.8244464,5.1598296,0.8622158,-0.994937,CD11b-_Monocyte_cells,1.2355873450769228,0.52666104,3;2;0;1;,-0x1,0x1,,1/6,3/4
62,2.8896391,1.670424,-0.0018295693,-0.11864649,0.73342615,1.6327037,0.05458548,0.86450964,4.5202146,0.770145,4.4872336,0.049816795,-0.10095166,CD11b-_Monocyte_cells,1.3424054112076922,0.770145,3;2;0;1;,-0x1,0x1,,1/6,3/4
63,3.6161175,-0.1856642,-0.038605355,0.32786202,0.21012774,-0.1924872,-0.03157217,-0.050764516,4.2719145,1.5163417,4.713685,-0.09400899,0.35797966,CD11b-_Monocyte_cells,1.109301976076923,0.21012774,3;2;0;1;,-0x1,0x1,,1/6,3/4
64,4.055477,2.7722256,0.08301752,0.46640226,2.3972719,0.7397285,0.6025117,-0.10490939,4.9374285,1.8712708,5.139586,-0.0064859847,0.4722842,CD11b-_Monocyte_cells,1.8019852773307694,0.7397285,3;2;0;1;,-0x1,0x1,,1/6,3/4
65,3.1909974,1.9565287,0.1766155,0.58667797,2.1113844,-0.10851039,0.5538122,1.2233934,4.4961452,0.5198528,4.842647,0.3620971,1.6734719,CD11b-_Monocyte_cells,1.6603933215384616,1.2233934,3;2;0;1;,-0x1,0x1,,1/6,3/4
66,2.9497638,1.1127024,-0.014868376,0.5704759,0.44446334,2.3423076,0.23890515,0.29541528,4.327085,2.8705566,5.228714,0.032964766,1.5418454,CD11b-_Monocyte_cells,1.6877177584615384,1.1127024,3;2;0;1;,-0x1,0x1,,1/6,3/4
67,4.0133333,0.754632,-0.14315662,0.8050136,0.79043704,0.25750852,1.2598075,0.9247894,4.4565153,0.59331715,3.7980762,1.2627646,1.3541766,CD11b-_Monocyte_cells,1.5482472761538462,0.9247894,3;2;0;1;,-0x1,0x1,,1/6,3/4
68,3.3520992,0.92599034,0.6552847,0.32471934,1.4536407,-0.047497,-0.2695162,-0.06333276,4.619564,1.078804,4.797244,0.8326586,0.13692075,CD11b-_Monocyte_cells,1.3689676669230768,0.8326586,3;2;0;1;,-0x1,0x1,,1/6,3/4
69,4.082939,0.59293264,1.1715741,-0.0053479746,2.5609746,1.942448,1.4524591,-0.05582564,4.4971957,3.7969058,2.8665326,1.5236999,1.1802427,CD11b-_Monocyte_cells,1.9697485019538463,1.5236999,3;2;0;1;,-0x1,0x1,,1/6,3/4
70,3.8487942,1.6534504,-0.0154130515,0.5252397,1.9035611,-0.16700172,0.47602898,0.18362305,4.814358,1.4290535,3.7428935,1.5931439,0.9468207,CD11b-_Monocyte_cells,1.6103501737307693,1.4290535,3;2;0;1;,-0x1,0x1,,1/6,3/4
71,2.999821,1.2571255,-0.12194023,-0.10723649,1.6547612,-0.006673575,-0.110876456,-0.04225163,4.3910637,1.4370618,4.6464777,0.054673787,2.3524806,CD11b-_Monocyte_cells,1.415729762,1.2571255,3;2;0;1;,-0x1,0x1,,1/6,3/4
72,2.4843724,-0.29958427,1.324551,-0.13923539,0.3021737,-0.31281286,0.25295255,0.4757138,4.473758,0.2615096,4.7812533,0.3423185,1.9537431,CD11b-_Monocyte_cells,1.2231318023076923,0.3423185,3;2;0;1;,-0x1,0x1,,1/6,3/4
73,4.103255,-0.12820946,-0.13942523,-0.13795957,2.1512082,-0.24814768,0.9210236,-0.07923105,4.748889,1.215633,3.9805763,0.6741228,-1.4288503,CD11b-_Monocyte_cells,1.2025295853846152,0.6741228,3;2;0;1;,-0x1,0x1,,1/6,3/4
74,2.9547625,0.95115864,-0.061813187,-0.13564813,0.35944298,0.5761287,-0.017495774,0.22667466,4.4031515,0.46180928,4.0079155,-0.053990327,1.5683912,CD11b-_Monocyte_cells,1.1723451955384616,0.46180928,3;2;0;1;,-0x1,0x1,,1/6,3/4
75,2.5755517,1.7599652,-0.02775502,-0.028193591,2.1203518,0.2128659,1.1496558,-0.11575138,5.0591745,0.9700859,6.0437565,0.3483337,0.5207615,CD11b-_Monocyte_cells,1.5837540391538463,0.9700859,3;2;0;1;,-0x1,0x1,,1/6,3/4
76,3.0608113,0.030455045,-0.0011165272,0.68140787,2.894917,-0.055127475,-0.10877377,-0.09317751,4.679794,0.70365584,3.9800465,-0.13301174,-1.4931948,CD11b-_Monocyte_cells,1.0882065948307693,0.030455045,3;2;0;1;,-0x1,0x1,,1/6,3/4
77,3.3653688,-0.21130978,-0.14386997,-0.1123595,2.6483538,0.28440204,0.70898,-0.14538543,3.9540071,1.2946486,5.1722717,0.8791755,1.4990702,CD11b-_Monocyte_cells,1.4764117738461535,0.8791755,3;2;0;1;,-0x1,0x1,,1/6,3/4
78,3.1896906,-0.757419,-0.008731694,-0.004373946,2.8489094,2.5139732,-0.079441436,-0.13894157,4.6484017,1.8686192,5.3037295,-0.12718242,1.1166433,CD11b-_Monocyte_cells,1.567221294923077,1.1166433,3;2;0;1;,-0x1,0x1,,1/6,3/4
79,3.2837973,2.1817963,-0.17310566,0.42179263,0.12426696,-0.05627554,1.2588451,-0.02135742,4.4773393,1.4213221,4.473144,0.86124533,0.55841905,CD11b-_Monocyte_cells,1.4470176499999998,0.86124533,3;2;0;1;,-0x1,0x1,,1/6,3/4
80,4.842266,0.4916924,-0.37617692,-0.03769781,3.4262881,1.5830561,-0.017020706,-0.02402085,5.2165227,1.8577626,4.5571327,0.54034704,0.44344234,CD11b-_Monocyte_cells,1.731045668769231,0.54034704,3;2;0;1;,-0x1,0x1,,1/6,3/4
81,3.0898147,1.5478076,-0.031037882,0.73883456,0.86164916,1.8493507,1.0246263,-0.074622534,4.6291885,2.0283036,5.018567,1.4962488,1.1739216,CD11b-_Monocyte_cells,1.7963578541538463,1.4962488,3;2;0;1;,-0x1,0x1,,1/6,3/4
82,3.1093547,0.7881182,-0.24804525,-0.13710588,0.10962585,-0.039957948,0.67840403,-0.05360664,4.645105,1.1332642,5.0098166,0.84272015,2.1987379,CD11b-_Monocyte_cells,1.3874177624615385,0.7881182,3;2;0;1;,-0x1,0x1,,1/6,3/4
83,3.0270057,-0.47718233,-0.13093266,0.15759297,1.1424413,-0.2252214,-0.11300715,-0.09149418,4.633103,1.6717865,4.458192,-0.26536804,1.9731576,CD11b-_Monocyte_cells,1.2123133315384615,0.15759297,3;2;0;1;,-0x1,0x1,,1/6,3/4
84,3.7961352,2.093609,0.060627695,0.21682097,1.4956131,-0.087575465,1.2166767,-0.15074283,3.8055928,2.216527,3.9561508,0.752072,-0.32446933,CD11b-_Monocyte_cells,1.4651567415384614,1.2166767,3;2;0;1;,-0x1,0x1,,1/6,3/4
85,3.140196,-0.307037,-0.1578736,0.4089022,2.9166517,0.8489136,1.3118638,-0.10622334,4.3255253,1.976349,4.637438,0.12914798,-0.77633226,CD11b-_Monocyte_cells,1.4113477984615383,0.8489136,3;2;0;1;,-0x1,0x1,,1/6,3/4
86,4.0499096,1.0791198,-0.14528917,-0.08735051,2.805445,0.6993753,-0.116200946,0.8426559,4.435146,3.5961232,5.2341075,0.49680886,-0.05780924,CD11b-_Monocyte_cells,1.756310868769231,0.8426559,3;2;0;1;,-0x1,0x1,,1/6,3/4
87,4.3396945,2.0335543,-0.93142974,0.6672561,2.3250232,-0.16407347,0.41148418,-0.12876397,5.056655,1.014838,4.5848427,1.2517675,-1.1021556,CD11b-_Monocyte_cells,1.4891302076923079,1.014838,3;2;0;1;,-0x1,0x1,,1/6,3/4
88,2.9080377,2.2525508,0.21415883,-0.28409436,0.9386353,1.2010912,0.09767655,0.71100783,4.3128877,0.6669346,5.178616,0.9499335,1.6284213,CD11b-_Monocyte_cells,1.5981428423076922,0.9499335,3;2;0;1;,-0x1,0x1,,1/6,3/4
89,3.1288188,0.4297731,-0.08138497,-0.022402583,2.6994848,-0.47915524,-0.03235026,-0.10338045,4.017446,1.2015849,4.588784,1.1528345,-1.9312131,CD11b-_Monocyte_cells,1.1206799613076923,0.4297731,3;2;0;1;,-0x1,0x1,,1/6,3/4
90,3.7749977,0.6121188,-0.29622266,-0.02167946,2.9148736,0.05019801,0.4118359,0.4217714,4.873103,1.0559381,3.9991348,0.9806322,1.1192981,CD11b-_Monocyte_cells,1.5304614992307692,0.9806322,3;2;0;1;,-0x1,0x1,,1/6,3/4
91,3.7424126,1.9504213,-0.10716309,-0.025477806,2.631278,-0.25505325,-0.12735938,1.3945,4.724761,2.0289645,5.5162673,0.9208013,-0.122880735,CD11b-_Monocyte_cells,1.713190133769231,1.3945,3;2;0;1;,-0x1,0x1,,1/6,3/4
92,3.4333491,1.1903343,-0.07830986,-0.36743197,1.870304,0.21596174,-0.054080967,-0.09698957,4.880811,1.1761117,4.834791,0.22072193,-0.3409011,CD11b-_Monocyte_cells,1.2988208694615382,0.22072193,3;2;0;1;,-0x1,0x1,,1/6,3/4
93,3.7649267,-0.01814588,-0.031417802,0.7969581,2.6058555,-0.009911895,-0.13137446,-0.1337989,4.839737,-0.0900715,4.769759,1.0764726,0.29882494,CD11b-_Monocyte_cells,1.3644471848461537,0.29882494,3;2;0;1;,-0x1,0x1,,1/6,3/4
94,3.149853,-0.18006052,-0.03194586,0.4764038,0.96011925,0.41198403,0.28754413,0.3183243,4.5543885,1.0815493,4.391045,-0.027836522,2.0060334,CD11b-_Monocyte_cells,1.3382616775384617,0.4764038,3;2;0;1;,-0x1,0x1,,1/6,3/4
95,3.380732,0.43074355,-0.032643486,0.7672897,1.6635082,0.75967455,-0.099832386,1.8576536,4.792486,0.06178485,3.8562803,1.0138984,1.3320003,CD11b-_Monocyte_cells,1.5218135059999998,1.0138984,3;2;0;1;,-0x1,0x1,,1/6,3/4
96,4.5865536,0.80175835,0.74921024,0.37297082,2.7075484,1.2114867,1.7850672,-0.097177744,4.9053555,0.8737827,3.1943095,-0.122907214,-0.3466735,CD11b-_Monocyte_cells,1.5862526578461535,0.8737827,3;2;0;1;,-0x1,0x1,,1/6,3/4
97,3.205169,1.3407799,-0.13555248,0.096099205,0.6366327,0.49570608,1.4924458,-0.021163577,4.036559,0.49922344,4.710514,1.3804961,1.4364418,CD11b-_Monocyte_cells,1.4748731513846152,1.3407799,3;2;0;1;,-0x1,0x1,,1/6,3/4
98,2.404498,1.322292,-0.18851781,0.6748629,1.1553434,0.6706229,0.847056,0.24478552,4.873025,0.12514864,5.0584955,0.9012232,2.5474615,CD11b-_Monocyte_cells,1.5874074423076925,0.9012232,3;2;0;1;,-0x1,0x1,,1/6,3/4
99,3.0803986,0.7778055,0.7855834,-0.1191927,2.3151438,1.1080031,1.0666863,-0.12406247,4.209322,0.39809033,4.668428,1.5264902,0.76826984,CD11b-_Monocyte_cells,1.573920453846154,1.0666863,3;2;0;1;,-0x1,0x1,,1/6,3/4
